qName	blockSizes	Canada/Qc-L00240866/2020	England/LOND-124C7A4/2020	England/NORT-28118A/2020	England/OXON-B010C/2020	Hangzhou/HZCDC6706/2020	India/CCMB_NIV5/2020	NC_045512v2	NorthernIreland/NIRE-FC0CB/2020	Spain/Teruel2427/2020	USA/AZ-ASU2943/2020	USA/CruiseA-26/2020	USA/DC-CDC-9096/2020	USA/FL-CDC-6318/2020	USA/MD-HP00016/2020	USA/MD-HP00032/2020
r24s1p19081	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r25s1p6537	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r26s1p26880	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r27s1p3960	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r28s1p16758	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r29s1p24850	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r30s1p24464	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r31s1p11161	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r32s1p29708	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r33s1p16936	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r34s1p22038	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r35s1p25532	272	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1
r36s1p13235	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r37s1p5190	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r38s1p13608	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r39s1p18447	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r40s1p18762	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r41s1p11339	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r42s1p4637	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r43s1p27479	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r44s1p17539	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r45s1p3134	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r46s1p6783	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r47s1p20581	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r48s1p19703	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r49s1p15030	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r50s1p13960	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r51s1p24714	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r53s1p22561	289	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
r54s1p26899	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r55s1p30886	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r56s1p14708	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r57s1p8377	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r58s1p18330	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r59s1p20717	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r60s1p3776	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r61s1p19847	290	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
r62s1p6842	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r63s1p17473	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r64s1p19977	290	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
r65s1p17649	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r66s1p2665	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r67s1p23749	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r68s1p6066	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r69s1p17024	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r70s1p17094	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r71s1p26429	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r72s1p30559	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r73s1p1000	290	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1
r74s1p3243	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r75s1p10730	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r76s1p10788	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r77s1p18766	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r78s1p16457	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r79s1p18627	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r80s1p10116	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r81s1p24780	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r82s1p562	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r83s1p29841	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r84s1p22192	292	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
r85s1p13988	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r87s1p8929	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r88s1p27597	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r89s1p770	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r90s1p17525	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r91s1p28546	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r92s1p21592	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r93s1p24311	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r94s1p16455	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r95s1p21258	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r96s1p20070	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r97s1p12078	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r98s1p11795	286	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1
r99s1p17455	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r100s1p11937	284	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1
r101s1p13706	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r102s1p13890	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r103s1p6901	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r104s1p22319	292	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
r105s1p2699	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r106s1p26330	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r107s1p5182	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r108s1p20484	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r109s1p21305	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r110s1p5136	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r111s1p9845	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r112s1p9990	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r113s1p27095	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r114s1p13255	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r115s1p21008	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r116s1p10851	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r117s1p14168	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r118s1p30348	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r119s1p14212	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r120s1p21115	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r121s1p21021	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r122s1p13104	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r123s1p6629	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r124s1p28170	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r125s1p9016	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r126s1p27527	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r127s1p24896	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r128s1p21020	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r129s1p20665	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r131s1p22130	292	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
r132s1p14601	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r133s1p21643	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r134s1p2523	293	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2
r135s1p6469	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r136s1p7183	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r137s1p4841	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r138s1p2490	292	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2
r140s1p20922	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r141s1p11783	286	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1
r142s1p23697	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r143s1p22750	290	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
r144s1p17517	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r145s1p6908	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r146s1p21690	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r147s1p6008	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r148s1p13032	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r149s1p17869	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r150s1p8201	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r151s1p25442	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r152s1p20274	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r153s1p9783	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r154s1p17197	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r155s1p10589	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r156s1p6915	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r157s1p28684	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r158s1p2525	293	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2
r159s1p30060	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r160s1p508	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r161s1p23745	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r162s1p24870	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r163s1p16678	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r164s1p17008	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r165s1p25533	273	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1
r166s1p11820	286	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1
r167s1p18776	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r168s1p3105	180	0	0	0	0	1	0	1	1	1	1	1	1	0	0	1
r170s1p7130	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r171s1p5685	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r172s1p26039	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r173s1p12301	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r174s1p1965	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r175s1p11138	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r176s1p18542	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r177s1p12302	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r178s1p4352	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r179s1p12885	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r180s1p20147	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r181s1p10558	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r182s1p6444	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r183s1p16880	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r184s1p22388	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r185s1p23203	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r186s1p8122	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r187s1p22803	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r188s1p21248	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r189s1p30925	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r190s1p23017	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r191s1p21105	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r192s1p3812	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r193s1p13482	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r194s1p25608	290	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1
r195s1p21250	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r196s1p26643	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r197s1p27337	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r198s1p18294	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r199s1p15172	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r200s1p23626	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r201s1p22460	289	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
r203s1p23191	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r204s1p25380	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r205s1p14845	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r206s1p12067	289	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1
r207s1p22645	289	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
r208s1p2150	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r209s1p14973	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r210s1p31236	226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r211s1p5367	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r212s1p13570	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r213s1p1892	289	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1
r214s1p31016	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r215s1p16216	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r216s1p7844	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r217s1p12116	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r218s1p15355	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r219s1p21082	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r220s1p20347	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r221s1p25549	289	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1
r222s1p6297	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r223s1p22253	292	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
r224s1p14291	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r225s1p29312	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r226s1p5337	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r227s1p15430	289	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1
r228s1p23760	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r229s1p21315	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r230s1p27298	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r231s1p373	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r231s1p373	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
r231s1p373	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
r231s1p373	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
r231s1p373	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
r231s1p373	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
r231s1p373	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
r231s1p373	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
r232s1p7690	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r233s1p5598	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r234s1p26164	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r235s1p4909	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r236s1p20530	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r237s1p31458	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r238s1p6267	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r239s1p4418	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r240s1p15393	290	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1
r241s1p9405	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r242s1p4415	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r243s1p12942	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r244s1p22890	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r245s1p20584	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r247s1p16392	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r248s1p13426	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r249s1p14608	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r250s1p16727	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r251s1p9849	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r252s1p7686	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r253s1p16604	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r254s1p1232	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r255s1p2774	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r256s1p30858	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r257s1p24657	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r258s1p29480	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r259s1p16778	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r260s1p27943	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r261s1p3731	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r262s1p7822	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r263s1p28329	289	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1
r264s1p11217	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r265s1p3364	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r266s1p11564	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r267s1p3334	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r268s1p13180	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r269s1p532	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r270s1p14597	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r271s1p27894	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r272s1p27891	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r273s1p12435	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r274s1p23238	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r275s1p6272	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r276s1p4999	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r277s1p12465	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r278s1p17359	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r279s1p8005	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r280s1p519	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r281s1p1555	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r282s1p25785	144	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1
r283s1p10558	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r284s1p24206	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r285s1p28818	290	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1
r287s1p20923	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r288s1p12015	286	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1
r289s1p10371	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r290s1p6581	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r291s1p7018	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r292s1p9050	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r293s1p17054	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r294s1p5367	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r295s1p31013	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r296s1p22251	292	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
r297s1p10432	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r298s1p26363	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r299s1p6442	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r300s1p20937	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r302s1p14831	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r303s1p12249	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r304s1p8472	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r305s1p19885	290	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
r306s1p2831	290	0	0	0	0	1	0	1	1	1	1	1	1	0	0	1
r307s1p23711	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r309s1p5860	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r310s1p3655	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r311s1p1782	290	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1
r312s1p7809	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r313s1p10641	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r314s1p28866	289	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1
r315s1p6223	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r316s1p20403	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r318s1p9459	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r319s1p16574	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r320s1p13610	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r321s1p20929	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r322s1p17808	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r323s1p21801	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r324s1p2678	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r325s1p29235	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r326s1p21097	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r327s1p30591	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r328s1p27783	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r329s1p16962	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r331s1p25452	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r332s1p8863	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r333s1p8558	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r334s1p27712	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r335s1p16256	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r336s1p3485	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r337s1p25434	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r338s1p7191	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r339s1p6078	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r340s1p18459	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r341s1p22133	292	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
r342s1p6170	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r343s1p27811	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r344s1p19069	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
